id,elev
2065,1907
2066,1931
2067,1931
2068,2057
2069,2187
207,2648
2070,2489
2071,2029
2072,2031
2073,2283
2074,2343
2075,2258
2076,2252
2077,2284
2078,2216
2079,2174
208,2248
2080,2289
2081,2304
2082,2461
2083,2352
2084,2363
2085,2490
2086,2432
2087,2504
2088,2298
2089,2348
209,2287
2090,2431
2091,2535
2092,2700
2093,2596
2094,2625
2095,2602
2096,2564
2097,2390
2098,2425
2099,2522
21,2472
210,2477
2100,2475
2101,2713
2102,2723
2103,2598
2104,2770
2105,3187
2106,3191
2107,3282
2108,3018
2109,3266
211,2261
2110,3343
2111,3039
2112,2763
2113,2742
2114,2765
2115,2736
2116,2796
2117,2717
2118,2793
2119,2477
212,2592
2120,2768
2121,2688
2122,2355
2123,2705
2124,2895
2125,2797
2126,2283
2127,2690
2128,3022
2129,2290
213,2705
2130,2396
2131,2959
2132,2572
2133,2850
2134,3081
2135,3169
2136,2963
2137,3113
2138,3000
2139,2549
214,2312
2140,2775
2141,2551
2142,2351
2143,2881
2144,2482
2145,2320
2146,2271
2147,2223
2148,2106
2149,2627
215,2965
2150,2091
2151,2442
2152,2469
2153,2493
2154,2211
2155,2321
2156,2526
2157,2448
2158,2551
2159,2602
216,2560
2160,2472
2161,2175
2162,1880
2163,1889
2164,1962
2165,1977
2166,1857
2167,1797
2168,1797
2169,1798
217,2541
2170,2073
2171,2286
2172,2697
2173,2834
2174,2710
2175,2661
2176,2679
2177,2800
2178,2921
2179,1801
218,1980
2180,2612
2181,2643
2182,2926
2183,3027
2184,3354
2185,3328
2186,3410
2187,2813
2188,2754
2189,2820
219,2451
2190,2847
2191,2938
2192,2825
2193,2719
2194,2090
2195,2501
2196,2540
2197,2146
2198,2192
2199,2049
22,2187
220,1818
2200,2547
2201,2016
2202,2025
2203,2553
2204,2017
2205,2639
2206,2109
2207,2039
2208,2355
2209,2259
221,2981
2210,2127
2211,2208
2212,2204
2213,2155
2214,2240
2215,2278
2216,2256
2217,2251
2218,2207
2219,2301
222,1890
2220,2301
2221,2428
2222,2159
2223,2208
2224,2195
2225,2161
2226,2769
2227,2380
2228,2280
2229,2281
223,2005
2230,2094
2231,2185
2232,2940
2233,2425
2234,2628
2235,2259
2236,2315
2237,2531
2238,2588
2239,2303
224,2043
2240,2250
2241,2646
2242,2569
2243,2724
2244,1991
2245,2586
2246,1949
2247,2134
2248,2347
2249,2355
225,1852
2250,2326
2251,2511
2252,2468
2253,2502
2254,2500
2255,2329
2256,2617
2257,2643
2258,3020
2259,2502
226,2106
2260,2692
2261,2930
2262,2898
2263,2868
2264,2547
2265,2900
2266,2700
2267,2880
2268,2474
2269,2548
227,2025
2270,2671
2271,2933
2272,2407
2273,2918
2274,2739
2275,2197
2276,2060
2277,2069
2278,2260
2279,2081
228,2556
2280,2310
2281,2569
2282,2073
2283,2013
2284,2402
2285,2614
2286,2461
2287,2293
2288,2459
2289,2202
229,2429
2290,2086
2291,2304
2292,2229
2293,2520
2294,2660
2295,2194
2296,2212
2297,2507
2298,2483
2299,2470
23,2252
230,2406
2300,2609
2301,2685
2302,2723
2303,2544
2304,2674
2305,2552
2306,2491
2307,2513
2308,3016
2309,2793
231,2719
2310,3086
2311,2120
2312,2341
2313,2874
2314,2278
2315,3486
2316,2476
2317,2765
2318,2765
2319,3128
232,1970
2320,3080
2321,2387
2322,2125
2323,2706
2324,2953
2325,2457
2326,2396
2327,2047
2328,3036
2329,2580
233,1808
2330,2523
2331,2546
2332,2615
2333,2689
2334,2792
2335,1800
2336,1892
2337,2336
2338,2420
2339,2389
234,1750
2340,2067
2341,2375
2342,1852
2343,2544
2344,2502
2345,2142
2346,2811
2347,2111
2348,2509
2349,2247
235,1808
2350,2193
2351,2447
2352,2621
2353,3288
2354,3011
2355,3047
2356,2901
2357,2831
2358,3429
2359,2995
236,2555
2360,3331
2361,3261
2362,2455
2363,2064
2364,3293
2365,3086
2366,2316
2367,2944
2368,1938
2369,2999
237,2556
2370,3166
2371,2927
2372,2684
2373,3082
2374,3019
